Left Inverter Address Claim Timestamp (ms),4519.572
Right Inverter Address Claim Timestamp (ms),3699.541
Left Inverter Invalid to Valid Timestamp (ms),5683.565
Left Inverter Invalid to Valid Timestamp (ms),5803.58

Time Stamp (ms),Left Motor Speed,Right Motor Speed,Left Motor Torque,Right Motor Torque,Left Motor Speed Estimate,Right Motor Speed Estimate
6393.754,16767.5,0.0,1002.1201171875,0.0,-14886.0,-794.0
6398.754,16767.5,0.0,1002.1201171875,0.0,-14915.0,-252.5
6403.754,16767.5,0.0,1002.1201171875,0.0,-14926.0,31.0
6408.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-14927.5,177.5
6413.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-14924.0,250.5
6418.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-14849.0,-739.0
6423.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-14807.5,-1265.0
6428.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-14783.0,-1544.5
6433.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-14768.5,-1691.5
6438.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-14758.5,-1769.0
6443.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-14752.0,-1808.5
6448.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-14746.5,-1828.0
6453.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-14742.0,-1837.5
6458.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-14738.0,-1841.0
6463.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-14734.5,-1841.5
6468.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-14731.0,-1840.5
6473.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-14728.0,-1839.0
6478.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-14724.5,-1837.0
6483.754,0.0,16767.5,0.0,1002.1201171875,-14721.5,-1834.5
6488.754,0.0,16767.5,0.0,1002.1201171875,-14719.0,-1832.5
6493.754,0.0,16767.5,0.0,1002.1201171875,-15739.5,-1761.5
6498.754,0.0,16767.5,0.0,1002.1201171875,16491.5,-1725.0
6503.754,0.0,16767.5,0.0,1002.1201171875,16212.0,-1706.0
6508.754,16767.5,16767.5,1002.1201171875,1002.1201171875,16070.5,-1697.5
6513.754,16767.5,16767.5,1002.1201171875,1002.1201171875,16001.5,-1693.5
6518.754,16767.5,16767.5,1002.1201171875,1002.1201171875,14963.0,-1764.0
6523.754,16767.5,16767.5,1002.1201171875,1002.1201171875,14412.5,-1800.0
6528.754,16767.5,16767.5,1002.1201171875,1002.1201171875,14123.0,-1818.0
6533.754,16767.5,16767.5,1002.1201171875,1002.1201171875,13972.0,-1826.5
6538.754,16767.5,16767.5,1002.1201171875,1002.1201171875,13895.0,-1829.5
6543.754,16767.5,16767.5,1002.1201171875,1002.1201171875,13857.0,-1830.5
6548.754,16767.5,16767.5,1002.1201171875,1002.1201171875,13840.5,-1829.5
6553.754,16767.5,16767.5,1002.1201171875,1002.1201171875,13834.5,-1828.0
6558.754,16767.5,16767.5,1002.1201171875,1002.1201171875,13834.5,-1826.5
6563.754,16767.5,16767.5,1002.1201171875,1002.1201171875,13837.5,-1824.5
6568.754,16767.5,16767.5,1002.1201171875,1002.1201171875,13842.5,-1822.5
6573.754,16767.5,16767.5,1002.1201171875,1002.1201171875,13847.5,-1820.5
6578.754,16767.5,16767.5,1002.1201171875,1002.1201171875,13853.0,-1818.5
6583.754,16767.5,0.0,1002.1201171875,0.0,13858.5,-1816.5
6588.754,16767.5,0.0,1002.1201171875,0.0,13864.0,-1815.0
6593.754,16767.5,0.0,1002.1201171875,0.0,13801.0,-789.5
6598.754,16767.5,0.0,1002.1201171875,0.0,13772.0,-248.0
6603.754,16767.5,0.0,1002.1201171875,0.0,13760.5,35.5
6608.754,16767.5,16767.5,1002.1201171875,1002.1201171875,13759.0,181.5
